*** Aelf Mainnet ***,,,,,,,,,,,Execution Layer,,,,Chain SSDB,,,,State SSDB,,,,Exporter,,,,,,,,,Total CPU (vCore),Total Memory (GB),Storage (TB)
idc-svc-arb-mainnet-nitro-arch-01,arb-mainnet,Deployed,K8S,192.168.34.105,idc-chain-host-18,61.111.3.68,8.2,32.048,8.2,32.058,8,8,32,32,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,9,33,34
idc-svc-arb-mainnet-nitro-arch-02,arb-mainnet,Deployed,K8S,192.168.34.106,idc-chain-host-04,61.111.3.54,24.2,64.048,24.2,64.058,24,24,64,64,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,25,65,34
idc-svc-arb-mainnet-nitro-full-01,arb-mainnet,Deployed,K8S,192.168.34.107,idc-chain-host-28,61.111.3.78,4.2,32.048,4.2,32.058,4,4,32,32,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,33,5.8
idc-svc-arb-mainnet-nitro-full-02,arb-mainnet,Deployed,K8S,192.168.34.108,idc-chain-host-12,61.111.3.62,4.2,32.048,4.2,32.058,4,4,32,32,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,33,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,554,142.6
*** Arbitrum Sepolia ***,,,,,,,,,,,Execution Layer,,,,GethExporter,,,,,,,,,,,,,,,,,,,
idc-ded-arb-sepolia-nitro-full-01dkargo,arb-sepolia,Deployed,K8S,192.168.34.166,idc-chain-host-27,61.111.3.77,4.2,64.048,4.2,64.058,4,4,64,64,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,65,2.1
idc-ded-arb-sepolia-nitro-full-01keyinside,arb-sepolia,Deployed,K8S,192.168.34.112,idc-chain-host-28,61.111.3.78,4.2,24.048,4.2,24.058,4,4,24,24,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,25,2.1
idc-int-arb-sepolia-nitro-arch-01,arb-sepolia,Deployed,K8S,192.168.34.109,idc-chain-host-05,61.111.3.55,8.2,32.048,8.2,32.058,8,8,32,32,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,9,33,17
idc-int-arb-sepolia-nitro-full-01,arb-sepolia,Deployed,K8S,192.168.34.111,idc-chain-host-20,61.111.3.70,4.2,24.048,4.2,24.058,4,4,24,24,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,25,2.1
idc-svc-arb-sepolia-nitro-arch-01,arb-sepolia,Deployed,K8S,192.168.34.113,idc-chain-host-18,61.111.3.68,8.2,32.048,8.2,32.058,8,8,32,32,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,9,33,17
idc-svc-arb-sepolia-nitro-arch-02,arb-sepolia,Deployed,K8S,192.168.34.114,idc-chain-host-04,61.111.3.54,8.2,32.048,8.2,32.058,8,8,32,32,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,9,33,17
idc-svc-arb-sepolia-nitro-full-01,arb-sepolia,Deployed,K8S,192.168.34.115,idc-chain-host-31,61.111.3.81,4.2,24.048,4.2,24.058,4,4,24,24,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,25,2.1
idc-svc-arb-sepolia-nitro-full-02,arb-sepolia,Deployed,K8S,192.168.34.116,idc-chain-host-13,61.111.3.63,4.2,24.048,4.2,24.058,4,4,24,24,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,25,2.1
